word_bw	word_ar	lemma_bw	lemma_ar	pos	stem_bw	stem_ar	gloss	root_bw	root_ar
Alw	الو	>aluw	أَلُو	interj	>aluw	أَلُو	hello_[CALIMA]	None	None
Alw	الو	>aluw	أَلُو	interj	>aluw	أَلُو	hello_[CALIMA]	None	None
Alw	الو	>aluw	أَلُو	interj	>aluw	أَلُو	hello_[CALIMA]	None	None
mHsn	محسن	mHsn	محسن	noun_prop	mHsn	محسن	NO_ANALYSIS_[ARAMORPH]	None	None
hndAwY	هنداوى	hinodAwiy~	هِنْداوِيّ	noun_prop	hinodAwiy~	هِنْداوِيّ	Hindawi_[ARAMORPH]	None	None
mfy$	مفيش	mifay~i$	مِفَيِّش	noun	mifay~i$	مِفَيِّش	TBA_[CALIMA]	None	None
Endk	عندك	Einod	عِنْد	noun	Einod	عِنْد	with;at_[CALIMA]+your_[CALIMA]	None	None
AHsAs	احساس	<iHosAs	إِحْساس	noun	<iHosAs	إِحْساس	feeling;sensitivity;feelings;sensitivities_[CALIMA]	None	None
Hsby	حسبي	Hasob	حَسْب	noun	Hasobu	حَسْبُ	reckoning;calculation;according_to_[CALIMA]+my_[CALIMA]	None	None
Allh	الله	All~ah	اللَّه	noun_prop	All~ah	اللَّه	TBA_[CALIMA]	None	None
wnEm	ونعم	naEam	نَعَم	verb	naEam	نَعَم	and_[CALIMA]+live_in_comfort;be_delighted;enjoy_[CALIMA]+he;it_[CALIMA]	None	None
Alwkyl	الوكيل	wakiyl	وَكِيل	noun	wakiyl	وَكِيل	the_[CALIMA]+representative;agent;representatives;agents_[CALIMA]	None	None
bS	بص	baS~	بَصّ	verb	buS~	بُصّ	look;glow;sparkle_[CALIMA]+you_[CALIMA]	None	None
mn	من	man	مَن	pron_interrog	man	مَن	who;whom_[ARAMORPH]	None	None
zmAn	زمان	zamAn	زَمان	noun	zamAn	زَمان	time;duration;times;durations_[CALIMA]	None	None
wAnA	وانا	>anA	أَنا	pron	>anA	أَنا	and_[ARAMORPH]+I_[ARAMORPH]	None	None
wAllh	والله	<il~A	إِلّا	noun	Allah	اللَه	and;with_[CALIMA]+God;Allah_[CALIMA]	None	None
